Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
2.869943, 19:49:52.971,126.1878,-234.776,135.5217,9.904297,4.059251,-1307.065,4.727378,-13.58022,9.094411,-1142.204,162.8338,46.93713,
2.919901, 19:49:53.025,117.7757,-109.4829,136.0463,9.296299,9.774479,73.48214,4.075211,-12.30867,26.22213,234.3889,165.1165,43.51804,
2.97335, 19:49:53.096,114.8665,-41.58218,136.483,11.87898,11.65783,22.45727,3.454574,-12.41956,33.3319,76.30259,167.3338,42.50454,
3.044885, 19:49:53.150,112.5786,22.52691,137.531,17.62538,12.58127,-8.838262,2.522968,-13.12084,35.75872,-22.75045,170.4289,43.62114,
3.099218, 19:49:53.203,117.7019,-23.90431,138.7014,24.00675,10.54538,-29.78347,1.803088,1.610815,30.46836,-105.7862,172.8243,-31.8343,
3.151383, 19:49:53.273,110.0328,40.05469,140.0877,-60.43312,9.409393,-11.86141,2.694516,14.19929,24.4927,-65.25661,167.0386,-109.5263,
3.22157, 19:49:53.324,122.6027,141.3711,131.3073,-94.62119,9.094107,-2.553191,3.540408,7.266763,22.48404,-19.75255,159.4235,-90.88809,
3.272281, 19:49:53.401,127.1243,51.37117,128.6481,68.24234,9.100718,1.430752,3.573053,0.8717122,22.10465,-0.5356766,156.0504,-53.26003,
3.349091, 19:49:53.472,129.1535,18.97273,140.0096,80.42635,9.276557,3.381521,3.651569,0.5073317,22.41573,7.161694,152.6317,-39.58237,
3.420031, 19:49:53.524,129.9275,7.04687,140.5311,7.460361,9.600336,4.706155,3.648011,-0.1133782,23.16279,11.16982,150.2021,-35.27925,
3.472787, 19:49:53.574,130.0252,-9.850842,140.9324,-40.22932,9.858692,8.891122,3.637545,-0.7514506,23.7974,22.86755,148.2678,-30.1967,
3.521934, 19:49:53.644,128.9237,-30.64538,136.4316,-35.70853,10.50637,11.94626,3.571436,-0.3071967,25.49306,31.02289,147.125,-13.08903,
3.592386, 19:49:53.697,126.3601,-49.21245,136.6617,43.09851,11.28745,17.99875,3.600804,2.733078,27.5077,45.14081,146.7024,-6.794994,
3.645922, 19:49:53.768,122.8219,-45.61827,141.7753,8.302689,12.738,10.48297,3.910306,7.675235,31.08999,42.90203,146.2825,-9.535558,
3.715893, 19:49:53.825,120.7259,-24.53314,137.6872,-54.25728,12.58216,-5.694741,4.548746,9.92979,32.80638,22.22835,145.5247,-7.271899,
3.773689, 19:49:53.876,119.6874,-14.01415,134.843,-40.28899,12.0104,-10.07866,5.179004,11.03078,33.93003,16.87876,145.3534,-2.389119,
3.8248, 19:49:53.944,119.1997,4.115144,133.2994,-23.44093,11.48452,-18.50586,5.75008,9.81933,34.6446,-3.935739,145.2645,-5.300012,
3.892102, 19:49:53.998,120.1747,11.67765,132.0673,-17.95198,9.819054,-20.24213,6.341747,8.265223,33.46399,-14.76352,144.7258,-7.027534,
3.946027, 19:49:54.068,120.6153,2.330379,131.1231,-12.73116,9.030624,-7.098874,6.75205,5.180852,32.85486,0.5110837,144.4126,-1.786655,
4.016101, 19:49:54.122,120.4636,-1.673055,130.4887,-8.271704,8.938805,-1.243508,6.984164,3.04978,33.52736,8.09351,144.5043,2.177428,
4.070533, 19:49:54.197,120.407,-0.9634853,130.0932,-4.873278,8.8758,-2.048385,7.131766,1.768957,33.86255,-9.296153,144.6837,2.354245,
4.145735, 19:49:54.246,120.3387,-4.20694,129.8569,-2.873472,8.673264,0.5939926,7.213482,0.9887702,32.32226,-13.144,144.8095,1.855963,
4.193247, 19:49:54.319,119.8908,49.45368,129.7406,-2.310035,8.948691,4.547685,7.253102,0.7394078,32.2496,-1.196089,144.9114,0.1684244,
4.267407, 19:49:54.374,126.3559,45.18169,129.5759,-2.306555,9.22659,3.046204,7.303447,0.5633341,32.17673,-2.204945,144.83,-1.285539,
4.322056, 19:49:54.447,125.7106,-10.81069,129.4435,-2.14187,9.341068,2.577298,7.325665,0.3366067,31.96558,-3.409663,144.7458,-1.550301,
4.395989, 19:49:54.496,124.9658,-8.749529,129.3005,-2.59596,9.557984,4.363177,7.346729,0.1994012,31.73831,-2.873499,144.6306,-1.798868,
4.444686, 19:49:54.569,124.6376,-5.449229,129.1252,-2.89573,9.876127,4.936776,7.350117,0.1944132,31.6132,-1.059673,144.5252,-4.287601,
4.517665, 19:49:54.622,124.3028,-5.351813,128.9481,-2.409872,10.15867,4.992589,7.370384,-0.1215275,31.60937,0.7580436,144.1089,-6.64319,
4.57143, 19:49:54.694,123.9593,-4.61129,128.8197,-0.6133911,10.5089,5.508574,7.334714,-2.847507,31.70928,1.650206,143.6833,-2.01364,
